Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
slow/slow,9.672470259509802e-2,9.361859350361873e-2,0.10467627515758184,7.291413434569813e-3,2.409533768981173e-3,1.1469152581787947e-2
slow/slow,9.276445575577215e-2,9.073154886310385e-2,9.695079280936048e-2,4.282970188076065e-3,5.158689056417977e-4,6.232820220833397e-3
slow/slow,9.321396533285599e-2,9.222868771458807e-2,9.561799329372497e-2,2.2409224282891865e-3,1.00905536549525e-3,3.497829770643923e-3
slow/slow,9.701006439688381e-2,9.605730164632013e-2,9.914202048127697e-2,2.264024669567723e-3,5.544310980148564e-4,3.6313313421237363e-3
