Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
full/with moves,13.93501547104006,13.284895876999144,14.849185978788228,0.8669926982136643,0.35729371333400195,1.0888196473535987
Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
full/with moves,13.893049337958777,13.622362583626455,14.051470009667053,0.2686544411564934,0.10658945772846568,0.36585686982389715
Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
full/with moves,7.859068183770854,7.8046163218750735,7.900785629062497,5.249184208519259e-2,2.904004541666927e-2,6.294143149467175e-2
Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
full/with moves,7.286991968333311,7.214267736333284,7.3439174084999905,7.102560745693591e-2,3.463650435150395e-2,8.489933110360515e-2
Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
full/with moves,7.901290420062528,7.314779117499995,8.506596455187548,0.7716733935192214,0.32108102699997243,0.9837373989287138
Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
full/with moves,7.417569634354123,7.3805025626666065,7.438694082604144,3.506548423971305e-2,3.988970600539245e-3,4.479585293398755e-2
Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
full/with moves,7.518355661937496,7.337887502874972,7.671585727250052,0.21832956310237034,0.12886333249999415,0.2679748014445282
Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
full/with moves,8.171780850333326,7.657953882958386,8.509051285333348,0.49791276105086874,0.19241239158323697,0.6551750858237
Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
full/with moves,7.341018862562502,7.2633729900624076,7.384605145000023,7.395936747640401e-2,1.5206353374954684e-2,9.621603839330534e-2
Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
full/with moves,7.464783086937284,6.674211016999834,7.7718807611249,0.5804077339381045,2.781160766057722e-3,0.7092116994389137
