Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
summarize/with 1000position,0.1549253069460182,0.15257600914282235,0.1565770957348504,2.7574782840888543e-3,1.6407910714162086e-3,3.910809292531598e-3
summarize/with 2000position,0.19952656608016292,0.19794330377711353,0.2019185104769551,2.5778571178718315e-3,1.3255369271283205e-3,3.959250198438115e-3
summarize/with 3000position,0.24793326531405907,0.24463042620118358,0.2530866498801333,5.410767201230818e-3,1.3892500785462778e-3,7.793900105996563e-3
summarize/with 4300position,0.3060750369431965,0.30164897709347616,0.31079239300968764,5.8241213399125545e-3,3.3860841483734677e-3,8.77192245218443e-3
Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
summarize/with 1000position,0.15670063561081493,0.15310690920582387,0.16455750537723016,7.47817596224176e-3,1.9256171953692903e-3,1.1036312988842055e-2
summarize/with 2000position,0.20168284400533595,0.19958294453786543,0.20529567155426776,3.6624119306669974e-3,1.670349520159797e-3,5.527275319134152e-3
summarize/with 3000position,0.2462120970833833,0.2423474941334765,0.24793438176692387,3.1214613480088273e-3,6.851102703726614e-4,4.32910351635547e-3
summarize/with 4300position,0.3069453992694859,0.30144229409876666,0.3110182169099426,6.103384076941629e-3,3.549725211598053e-3,8.622576368109936e-3
Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
summarize/with 1000position,0.16112511963090545,0.15480483929719896,0.17061259523844846,1.0868793372334604e-2,9.04912676032224e-4,1.2326346071046514e-2
summarize/with 2000position,0.20462187914201624,0.20129915586080138,0.2092677006478779,5.510701573669448e-3,2.6634098867173825e-3,7.816731065280124e-3
summarize/with 3000position,0.2510239082639843,0.24718912586807465,0.25314690938044804,3.543318546944153e-3,4.948317298772444e-4,4.687906101337749e-3
summarize/with 4300position,0.31343278966953225,0.30966110186993323,0.3171283458195103,5.182350673672705e-3,3.0011543860127992e-3,7.582866074798755e-3
Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
summarize/with 1000position,0.15795390100427129,0.1554074634322063,0.16093886356680914,4.04481997492695e-3,2.864081995295748e-3,5.39259296588853e-3
summarize/with 2000position,0.20090640472509325,0.199566982416905,0.20305076729184493,2.2837829896104026e-3,1.097453636376142e-3,3.4646726537596226e-3
summarize/with 3000position,0.24864392635322777,0.24389973778578375,0.25572383642058416,7.466313285068524e-3,3.265692189172752e-3,1.1109029685704536e-2
summarize/with 4300position,0.3102532541707236,0.3073979975207476,0.3161813603222254,5.056417694249545e-3,1.4453129341623675e-3,7.020742469968016e-3
